tau,rho,eta,eta_neg_tau,eta_sphere,eta_series,resid_involution,resid_sphere,resid_series,resid_parabolic,u
0.25,0.95,12.6688837718407,12.6688837718407,12.6688837718407,12.6688829300158,0,3.5527136788005e-15,8.41824896014032e-07,0.361191464148421,0.921066447683204
0.5,-0.95,0.54274733955511,0.54274733955511,0.54274733955511,0.542747339555111,0,0,1.11022302462516e-15,0.0608196287117366,-0.84247793977157
0.5,-0.9,0.556131152666318,0.556131152666318,0.556131152666318,0.556131152666318,0,0,2.22044604925031e-16,0.0623039921724911,-0.798136995573066
0.5,-0.85,0.570191727376872,0.570191727376872,0.570191727376872,0.570191727376873,0,1.11022302462516e-16,4.44089209850063e-16,0.0638626134528217,-0.753796051374563
0.5,-0.8,0.584981726517495,0.584981726517495,0.584981726517495,0.584981726517494,0,1.11022302462516e-16,2.22044604925031e-16,0.0655012070369752,-0.709455107176059
0.5,-0.75,0.600559422431313,0.600559422431313,0.600559422431313,0.600559422431313,0,0,3.33066907387547e-16,0.0672260890979798,-0.665114162977555
0.5,-0.7,0.616989464296129,0.616989464296129,0.616989464296129,0.616989464296129,0,0,0,0.0690442588166771,-0.620773218779052
0.5,-0.65,0.634343774943378,0.634343774943378,0.634343774943378,0.634343774943377,0,0,2.22044604925031e-16,0.0709634932532367,-0.576432274580548
0.5,-0.6,0.652702603408531,0.652702603408531,0.652702603408531,0.65270260340853,0,1.11022302462516e-16,4.44089209850063e-16,0.0729924584809946,-0.532091330382044
0.5,-0.55,0.672155765702911,0.672155765702911,0.672155765702911,0.672155765702911,0,0,0,0.0751408403297771,-0.487750386183541
0.5,-0.5,0.692804114281502,0.692804114281502,0.692804114281502,0.692804114281501,0,0,1.11022302462516e-16,0.0774194988968862,-0.443409441985037
0.5,-0.45,0.714761286943492,0.714761286943492,0.714761286943492,0.714761286943492,0,1.11022302462516e-16,1.11022302462516e-16,0.0798406520228567,-0.399068497786533
0.5,-0.4,0.738155799187427,0.738155799187427,0.738155799187427,0.738155799187427,0,0,1.11022302462516e-16,0.0824180942693943,-0.35472755358803
0.5,-0.35,0.763133561373825,0.763133561373825,0.763133561373825,0.763133561373824,0,1.11022302462516e-16,3.33066907387547e-16,0.0851674596789096,-0.310386609389526
0.5,-0.3,0.789860924842011,0.789860924842011,0.789860924842011,0.789860924842011,0,1.11022302462516e-16,1.11022302462516e-16,0.0881065388770989,-0.266045665191022
0.5,-0.25,0.818528391367429,0.818528391367429,0.818528391367429,0.818528391367429,0,0,1.11022302462516e-16,0.0912556640947019,-0.221704720992518
0.5,-0.2,0.849355160834844,0.849355160834844,0.849355160834844,0.849355160834844,0,0,0,0.0946381797027687,-0.177363776794015
0.5,-0.15,0.882594746752998,0.882594746752998,0.882594746752998,0.882594746752998,0,1.11022302462516e-16,0,0.0982810212628022,-0.133022832595511
0.5,-0.1,0.918541964055649,0.918541964055649,0.918541964055649,0.918541964055649,0,1.11022302462516e-16,1.11022302462516e-16,0.102215433443404,-0.0886818883970074
0.5,-0.05,0.957541697043647,0.957541697043647,0.957541697043647,0.957541697043647,0,0,1.11022302462516e-16,0.106477867256413,-0.0443409441985037
0.5,0,1,1,1,1,0,0,0,0.111111111111111,0
